,series_1,series_2,hedge_ratio,half_life,trading_pair
0,SNX-USD,XTZ-USD,2.51188360069321,1.0,SNX-USD-XTZ-USD
1,SNX-USD,MKR-USD,0.0029127075872770855,7.0,SNX-USD-MKR-USD
2,SNX-USD,CELO-USD,4.481875746584785,3.0,SNX-USD-CELO-USD
3,SNX-USD,ENJ-USD,7.064836746795023,1.0,SNX-USD-ENJ-USD
4,SNX-USD,DOT-USD,0.4087971645456577,2.0,SNX-USD-DOT-USD
5,SNX-USD,UNI-USD,0.4298490141961529,5.0,SNX-USD-UNI-USD
6,XTZ-USD,ATOM-USD,0.08554772199486466,3.0,XTZ-USD-ATOM-USD
7,XTZ-USD,CELO-USD,1.7838979019970012,1.0,XTZ-USD-CELO-USD
8,XTZ-USD,RUNE-USD,0.8211094976241436,5.0,XTZ-USD-RUNE-USD
9,XTZ-USD,UMA-USD,0.479073236078056,1.0,XTZ-USD-UMA-USD
10,ICP-USD,MKR-USD,0.006121306787411693,4.0,ICP-USD-MKR-USD
11,ICP-USD,XMR-USD,0.028851664352101656,2.0,ICP-USD-XMR-USD
12,ETC-USD,FIL-USD,4.153936601100326,3.0,ETC-USD-FIL-USD
13,ETC-USD,ZRX-USD,85.79770892500377,1.0,ETC-USD-ZRX-USD
14,ETC-USD,TRX-USD,218.48809014983334,1.0,ETC-USD-TRX-USD
15,ETC-USD,YFI-USD,0.002748656255660139,6.0,ETC-USD-YFI-USD
16,ETC-USD,ALGO-USD,132.12081808698153,1.0,ETC-USD-ALGO-USD
17,ETC-USD,SOL-USD,0.9451543834305033,2.0,ETC-USD-SOL-USD
18,ETC-USD,AAVE-USD,0.2889551219352201,3.0,ETC-USD-AAVE-USD
19,ETC-USD,ETH-USD,0.008943081619703605,2.0,ETC-USD-ETH-USD
20,LINK-USD,CELO-USD,12.770011025991847,2.0,LINK-USD-CELO-USD
21,LINK-USD,TRX-USD,75.76370538817143,1.0,LINK-USD-TRX-USD
22,LINK-USD,XLM-USD,65.94466239370766,3.0,LINK-USD-XLM-USD
23,MKR-USD,BTC-USD,0.024818873138899734,3.0,MKR-USD-BTC-USD
24,ATOM-USD,CELO-USD,20.83443135697591,3.0,ATOM-USD-CELO-USD
25,ATOM-USD,ENJ-USD,32.83142842194382,6.0,ATOM-USD-ENJ-USD
26,ATOM-USD,RUNE-USD,9.576385902763128,7.0,ATOM-USD-RUNE-USD
27,ATOM-USD,ZRX-USD,48.55125115012937,2.0,ATOM-USD-ZRX-USD
28,ATOM-USD,TRX-USD,123.6863440157598,1.0,ATOM-USD-TRX-USD
29,ATOM-USD,YFI-USD,0.0015554047382192323,3.0,ATOM-USD-YFI-USD
30,ATOM-USD,NEAR-USD,6.886246409563623,4.0,ATOM-USD-NEAR-USD
31,ATOM-USD,XMR-USD,0.06404855827972455,2.0,ATOM-USD-XMR-USD

33,ATOM-USD,DOT-USD,1.901507564401068,1.0,ATOM-USD-DOT-USD
34,ATOM-USD,CRV-USD,13.1633419950971,3.0,ATOM-USD-CRV-USD
35,ATOM-USD,SOL-USD,0.5349481292530616,4.0,ATOM-USD-SOL-USD
36,ATOM-USD,AAVE-USD,0.1635011036969374,2.0,ATOM-USD-AAVE-USD
37,ATOM-USD,1INCH-USD,30.798297861648567,4.0,ATOM-USD-1INCH-USD
38,ATOM-USD,AVAX-USD,0.7201453816327041,4.0,ATOM-USD-AVAX-USD
39,BCH-USD,CELO-USD,250.06751584467594,2.0,BCH-USD-CELO-USD
40,BCH-USD,EOS-USD,146.99756055460932,7.0,BCH-USD-EOS-USD
41,BCH-USD,ALGO-USD,897.9438945220202,1.0,BCH-USD-ALGO-USD
42,BCH-USD,SOL-USD,6.415478633181187,3.0,BCH-USD-SOL-USD
