,series_1,series_2,hedge_ratio,half_life,trading_pair
0,XTZ-USD,BTC-USD,3.31E-05,6,XTZ-USD-BTC-USD
1,ETC-USD,ZEC-USD,0.55508172,17,ETC-USD-ZEC-USD
2,ETC-USD,LINK-USD,2.793111657,10,ETC-USD-LINK-USD
3,ETC-USD,BCH-USD,0.158154608,6,ETC-USD-BCH-USD
4,ETC-USD,CELO-USD,34.55908255,22,ETC-USD-CELO-USD
5,ETC-USD,ENJ-USD,53.6049581,10,ETC-USD-ENJ-USD
6,ETC-USD,RUNE-USD,15.80836911,21,ETC-USD-RUNE-USD
7,ETC-USD,ZRX-USD,81.55265219,9,ETC-USD-ZRX-USD
8,ETC-USD,YFI-USD,0.002730872,22,ETC-USD-YFI-USD
9,ETC-USD,COMP-USD,0.518267248,10,ETC-USD-COMP-USD
10,ETC-USD,XLM-USD,206.1580252,6,ETC-USD-XLM-USD
11,ETC-USD,NEAR-USD,11.11123377,11,ETC-USD-NEAR-USD
12,ETC-USD,SUSHI-USD,20.58835635,24,ETC-USD-SUSHI-USD
13,ETC-USD,ADA-USD,49.41460269,5,ETC-USD-ADA-USD
14,ETC-USD,DOT-USD,3.406169026,7,ETC-USD-DOT-USD
15,ETC-USD,DOGE-USD,251.0754592,6,ETC-USD-DOGE-USD
16,ETC-USD,UNI-USD,3.545329975,20,ETC-USD-UNI-USD
17,ZEC-USD,EOS-USD,37.42744874,5,ZEC-USD-EOS-USD
18,LINK-USD,CELO-USD,12.37342514,15,LINK-USD-CELO-USD
19,LINK-USD,YFI-USD,0.000977739,13,LINK-USD-YFI-USD
20,MKR-USD,FIL-USD,140.9476601,7,MKR-USD-FIL-USD
21,MKR-USD,EOS-USD,719.0033235,22,MKR-USD-EOS-USD
22,MKR-USD,XMR-USD,4.146525431,4,MKR-USD-XMR-USD
23,MKR-USD,ADA-USD,1710.15214,6,MKR-USD-ADA-USD
24,MKR-USD,BTC-USD,0.023326529,6,MKR-USD-BTC-USD
25,MKR-USD,ETH-USD,0.345229552,9,MKR-USD-ETH-USD
26,ATOM-USD,RUNE-USD,9.275778327,10,ATOM-USD-RUNE-USD
27,ATOM-USD,SOL-USD,0.526016605,19,ATOM-USD-SOL-USD
28,BCH-USD,CELO-USD,218.5140528,18,BCH-USD-CELO-USD
29,BCH-USD,ZRX-USD,515.6290009,9,BCH-USD-ZRX-USD
30,BCH-USD,YFI-USD,0.017267196,14,BCH-USD-YFI-USD
31,BCH-USD,NEAR-USD,70.25381671,10,BCH-USD-NEAR-USD
32,BCH-USD,AVAX-USD,7.83749957,14,BCH-USD-AVAX-USD
33,CELO-USD,EOS-USD,0.601030911,11,CELO-USD-EOS-USD
34,ENJ-USD,ZRX-USD,1.521222273,8,ENJ-USD-ZRX-USD
35,ENJ-USD,UNI-USD,0.066133236,9,ENJ-USD-UNI-USD
36,RUNE-USD,SOL-USD,0.056705639,11,RUNE-USD-SOL-USD
37,FIL-USD,EOS-USD,5.100904729,18,FIL-USD-EOS-USD
38,FIL-USD,XMR-USD,0.029415565,9,FIL-USD-XMR-USD
39,ZRX-USD,COMP-USD,0.006354221,9,ZRX-USD-COMP-USD
40,ZRX-USD,DOGE-USD,3.078220306,8,ZRX-USD-DOGE-USD
41,COMP-USD,ADA-USD,95.33506954,7,COMP-USD-ADA-USD
42,COMP-USD,DOT-USD,6.571395674,10,COMP-USD-DOT-USD
43,COMP-USD,DOGE-USD,484.4014749,8,COMP-USD-DOGE-USD
44,XLM-USD,NEAR-USD,0.053892118,18,XLM-USD-NEAR-USD
45,XLM-USD,DOT-USD,0.016521537,10,XLM-USD-DOT-USD
46,XLM-USD,DOGE-USD,1.217806064,11,XLM-USD-DOGE-USD
47,ADA-USD,DOGE-USD,5.080589703,8,ADA-USD-DOGE-USD
48,DOGE-USD,UNI-USD,0.014120788,10,DOGE-USD-UNI-USD
