,Unnamed: 0,series_1,series_2,hedge_ratio,half_life,trading_pair
1,1,SNX-USD,ENJ-USD,7.064562833047145,1.0,SNX-USD-ENJ-USD
3,3,SNX-USD,UNI-USD,0.4298583181322131,5.0,SNX-USD-UNI-USD
10,10,ETC-USD,FIL-USD,4.15986048014444,3.0,ETC-USD-FIL-USD
11,11,ETC-USD,YFI-USD,0.0027509627954033,4.0,ETC-USD-YFI-USD
12,12,ETC-USD,UNI-USD,3.5404302221414388,5.0,ETC-USD-UNI-USD
13,13,ETC-USD,ETH-USD,0.0089576561233012,2.0,ETC-USD-ETH-USD
21,21,LINK-USD,CELO-USD,12.768011082860768,2.0,LINK-USD-CELO-USD
22,22,LINK-USD,TRX-USD,75.76664023421081,1.0,LINK-USD-TRX-USD
24,24,LINK-USD,ADA-USD,19.01366768407113,2.0,LINK-USD-ADA-USD
26,26,MKR-USD,BTC-USD,0.0248048825135612,3.0,MKR-USD-BTC-USD
47,47,CELO-USD,NEAR-USD,0.3305766457386598,2.0,CELO-USD-NEAR-USD
49,49,CELO-USD,AVAX-USD,0.034584818249605,2.0,CELO-USD-AVAX-USD
51,51,ENJ-USD,COMP-USD,0.0093229709720739,1.0,ENJ-USD-COMP-USD
61,61,ZRX-USD,SOL-USD,0.0110333842330242,2.0,ZRX-USD-SOL-USD
63,63,TRX-USD,NEAR-USD,0.0556353838713472,3.0,TRX-USD-NEAR-USD
68,68,TRX-USD,AVAX-USD,0.0058181647708919,3.0,TRX-USD-AVAX-USD
69,69,YFI-USD,UNI-USD,1287.1964162310974,1.0,YFI-USD-UNI-USD
77,77,EOS-USD,DOGE-USD,11.305861841240862,8.0,EOS-USD-DOGE-USD
79,79,NEAR-USD,SOL-USD,0.0778411461628546,1.0,NEAR-USD-SOL-USD
80,80,NEAR-USD,DOGE-USD,20.3110442065616,2.0,NEAR-USD-DOGE-USD
82,82,NEAR-USD,UNI-USD,0.2900491716670875,6.0,NEAR-USD-UNI-USD
85,85,ALGO-USD,DOT-USD,0.0254116488481642,2.0,ALGO-USD-DOT-USD
92,92,SUSHI-USD,AVAX-USD,0.0517017266352363,1.0,SUSHI-USD-AVAX-USD
94,94,ADA-USD,SOL-USD,0.0172683388533459,5.0,ADA-USD-SOL-USD
96,96,UMA-USD,DOT-USD,0.3397485078044722,2.0,UMA-USD-DOT-USD
101,101,DOT-USD,ETH-USD,0.0026609147232531,2.0,DOT-USD-ETH-USD
104,104,CRV-USD,ETH-USD,0.0003830990396793,4.0,CRV-USD-ETH-USD
105,105,SOL-USD,DOGE-USD,260.4369613348178,2.0,SOL-USD-DOGE-USD
109,109,DOGE-USD,AVAX-USD,0.0051397311488426,5.0,DOGE-USD-AVAX-USD
111,111,AAVE-USD,ETH-USD,0.0309148545876636,3.0,AAVE-USD-ETH-USD
