Date,Date,positions,coin_1,coin_2,total,returns,trading_pair
2018-07-12,2018-07-12,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-13,2018-07-13,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-14,2018-07-14,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-15,2018-07-15,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-16,2018-07-16,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-17,2018-07-17,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-18,2018-07-18,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-19,2018-07-19,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-20,2018-07-20,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-21,2018-07-21,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-22,2018-07-22,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-23,2018-07-23,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-24,2018-07-24,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-25,2018-07-25,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-26,2018-07-26,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-27,2018-07-27,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-28,2018-07-28,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-29,2018-07-29,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-30,2018-07-30,0.0,-0.0,0.0,0.0,1.0,SNX-USD-XTZ-USD
2018-07-31,2018-07-31,1.0,-0.2217559963464737,1.887760043144226,1.6660040467977524,1.0,SNX-USD-XTZ-USD
2018-08-01,2018-08-01,1.0,-0.2231149971485138,1.8151600360870361,1.5920450389385223,0.9556069458526301,SNX-USD-XTZ-USD
2018-08-02,2018-08-02,1.0,-0.2095559984445572,1.658270001411438,1.4487140029668808,0.8695741200337853,SNX-USD-XTZ-USD
2018-08-03,2018-08-03,1.0,-0.2212419956922531,1.8268500566482544,1.6056080609560013,0.9637479957159533,SNX-USD-XTZ-USD
2018-08-04,2018-08-04,1.0,-0.20435699820518494,1.866189956665039,1.6618329584598541,0.9974963516169629,SNX-USD-XTZ-USD
2018-08-05,2018-08-05,1.0,-0.20556899905204773,1.850409984588623,1.6448409855365753,0.9872971129320753,SNX-USD-XTZ-USD
2018-08-06,2018-08-06,1.0,-0.20451299846172333,1.7834399938583374,1.578926995396614,0.9477329892634352,SNX-USD-XTZ-USD
2018-08-07,2018-08-07,1.0,-0.19397500157356262,1.6915899515151978,1.4976149499416351,0.8989263578442199,SNX-USD-XTZ-USD
2018-08-08,2018-08-08,1.0,-0.16641999781131744,1.5378799438476562,1.3714599460363388,0.8232032501196136,SNX-USD-XTZ-USD
2018-08-09,2018-08-09,1.0,-0.17221799492835999,1.669160008430481,1.496942013502121,0.8985224353922863,SNX-USD-XTZ-USD
2018-08-10,2018-08-10,1.0,-0.1569959968328476,1.5303599834442139,1.3733639866113663,0.8243461288411194,SNX-USD-XTZ-USD
2018-08-11,2018-08-11,1.0,-0.13780400156974792,1.5232599973678589,1.385455995798111,0.8316042199664002,SNX-USD-XTZ-USD
2018-08-12,2018-08-12,1.0,-0.1286350041627884,1.4534499645233154,1.324814960360527,0.7952051274467015,SNX-USD-XTZ-USD
2018-08-13,2018-08-13,1.0,-0.11429700255393982,1.3004399538040161,1.1861429512500763,0.7119688295655564,SNX-USD-XTZ-USD
2018-08-14,2018-08-14,1.0,-0.0971900001168251,1.2483500242233276,1.1511600241065025,0.6909707250226443,SNX-USD-XTZ-USD
2018-08-15,2018-08-15,1.0,-0.09773500263690948,1.2874599695205688,1.1897249668836594,0.7141188937508555,SNX-USD-XTZ-USD
2018-08-16,2018-08-16,1.0,-0.10454799979925156,1.2951699495315552,1.1906219497323036,0.7146572975142607,SNX-USD-XTZ-USD
2018-08-17,2018-08-17,1.0,-0.11478199809789658,1.3755500316619873,1.2607680335640907,0.7567616873364917,SNX-USD-XTZ-USD
2018-08-18,2018-08-18,1.0,-0.10398799926042557,1.334030032157898,1.2300420328974724,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-19,2018-08-19,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-20,2018-08-20,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-21,2018-08-21,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-22,2018-08-22,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-23,2018-08-23,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-24,2018-08-24,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-25,2018-08-25,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-26,2018-08-26,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-27,2018-08-27,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-28,2018-08-28,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-29,2018-08-29,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-30,2018-08-30,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-08-31,2018-08-31,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
2018-09-01,2018-09-01,0.0,-0.0,0.0,0.0,0.7383187545442952,SNX-USD-XTZ-USD
