Date,Date,positions,coin_1,coin_2,total,returns,trading_pair
2018-07-06,2018-07-06,0.0,-0.0,0.0,0.0,1.0,XTZ-USD-BTC-USD
2018-07-07,2018-07-07,0.0,-0.0,0.0,0.0,1.0,XTZ-USD-BTC-USD
2018-07-08,2018-07-08,0.0,-0.0,0.0,0.0,1.0,XTZ-USD-BTC-USD
2018-07-09,2018-07-09,0.0,-0.0,0.0,0.0,1.0,XTZ-USD-BTC-USD
2018-07-10,2018-07-10,0.0,-0.0,0.0,0.0,1.0,XTZ-USD-BTC-USD
2018-07-11,2018-07-11,0.0,-0.0,0.0,0.0,1.0,XTZ-USD-BTC-USD
2018-07-12,2018-07-12,0.0,-0.0,0.0,0.0,1.0,XTZ-USD-BTC-USD
2018-07-13,2018-07-13,0.0,-0.0,0.0,0.0,1.0,XTZ-USD-BTC-USD
2018-07-14,2018-07-14,0.0,-0.0,0.0,0.0,1.0,XTZ-USD-BTC-USD
2018-07-15,2018-07-15,0.0,-0.0,0.0,0.0,1.0,XTZ-USD-BTC-USD
2018-07-16,2018-07-16,0.0,-0.0,0.0,0.0,1.0,XTZ-USD-BTC-USD
2018-07-17,2018-07-17,1.0,-2.4379899501800537,7321.0400390625,7318.60204911232,1.0,XTZ-USD-BTC-USD
2018-07-18,2018-07-18,1.0,-2.331670045852661,7370.77978515625,7368.448115110397,1.0068108725769729,XTZ-USD-BTC-USD
2018-07-19,2018-07-19,1.0,-2.2699100971221924,7466.85986328125,7464.589953184128,1.019947512256048,XTZ-USD-BTC-USD
2018-07-20,2018-07-20,1.0,-2.049180030822754,7354.1298828125,7352.080702781677,1.004574460183064,XTZ-USD-BTC-USD
2018-07-21,2018-07-21,1.0,-2.1984400749206543,7419.2900390625,7417.091598987579,1.013457426597912,XTZ-USD-BTC-USD
2018-07-22,2018-07-22,1.0,-2.1628100872039795,7418.490234375,7416.327424287796,1.0133530112061944,XTZ-USD-BTC-USD
2018-07-23,2018-07-23,1.0,-2.2432000637054443,7711.10986328125,7708.866663217545,1.053325021839732,XTZ-USD-BTC-USD
2018-07-24,2018-07-24,1.0,-2.152859926223755,8424.26953125,8422.116671323776,1.1507821595990864,XTZ-USD-BTC-USD
2018-07-25,2018-07-25,1.0,-2.1186599731445312,8181.39013671875,8179.2714767456055,1.1176002495910644,XTZ-USD-BTC-USD
2018-07-26,2018-07-26,1.0,-2.0431299209594727,7951.580078125,7949.5369482040405,1.086209756297413,XTZ-USD-BTC-USD
2018-07-27,2018-07-27,1.0,-2.0937299728393555,8165.009765625,8162.916035652161,1.1153654729241969,XTZ-USD-BTC-USD
2018-07-28,2018-07-28,1.0,-2.063149929046631,8192.150390625,8190.087240695953,1.1190780952066297,XTZ-USD-BTC-USD
2018-07-29,2018-07-29,1.0,-2.0674800872802734,8218.4599609375,8216.39248085022,1.1226723936775318,XTZ-USD-BTC-USD
2018-07-30,2018-07-30,1.0,-2.083050012588501,8180.47998046875,8178.3969304561615,1.1174807532332114,XTZ-USD-BTC-USD
2018-07-31,2018-07-31,0.0,-0.0,0.0,0.0,1.1174807532332114,XTZ-USD-BTC-USD
2018-08-01,2018-08-01,0.0,-0.0,0.0,0.0,1.1174807532332114,XTZ-USD-BTC-USD
2018-08-02,2018-08-02,0.0,-0.0,0.0,0.0,1.1174807532332114,XTZ-USD-BTC-USD
2018-08-03,2018-08-03,0.0,-0.0,0.0,0.0,1.1174807532332114,XTZ-USD-BTC-USD
2018-08-04,2018-08-04,0.0,-0.0,0.0,0.0,1.1174807532332114,XTZ-USD-BTC-USD
2018-08-05,2018-08-05,0.0,-0.0,0.0,0.0,1.1174807532332114,XTZ-USD-BTC-USD
2018-08-06,2018-08-06,0.0,-0.0,0.0,0.0,1.1174807532332114,XTZ-USD-BTC-USD
2018-08-07,2018-08-07,0.0,-0.0,0.0,0.0,1.1174807532332114,XTZ-USD-BTC-USD
